English,Urdu
is zain your nephew,زین تمہارا بھتیجا ہے۔
i wish youd trust me,کاش تم مجھ پر بھروسہ کرتے
did he touch you,کیا اس نے آپ کو چھوا؟
its part of life,اس کی زندگی کا حصہ
zain isnt ugly,زین بدصورت نہیں ہے۔
above all be patient,سب سے بڑھ کر صبر کرو
i learned it from him,میں نے اسے اس سے سیکھا۔
why am i doing this,میں یہ کیوں کر رہا ہوں
i made a bad decision,میں نے ایک برا فیصلہ کیا
zain wont care,زین پرواہ نہیں کرے گا
zain was hesitant,زین ہچکچا رہا تھا
i borrowed zains car,میں نے زین گاڑی ادھار لی
why are you out here,تم یہاں کیوں باہر ہو
he is just a liar,وہ صرف جھوٹا ہے۔
were almost done,تقریباً ہو گیا
what is happening,کیا ہو رہا ہے آج کل
zain betrayed us,زین نے ہمیں دھوکہ دیا۔
zain goofed,زین بیوقوف
everythings fine,سب ٹھیک ہے
is it for here,کیا یہ یہاں کے لیے ہے؟
did zain give you that,زین نے تمہیں وہ دیا
come on wake up,آؤ اٹھو
zain needs the ladder,زین کو سیڑھی کی ضرورت ہے۔
i am not tired yet,میں ابھی تک نہیں تھکا
i am very tired,میں بہت تھکا ہوا ہوں
he is full of energy,وہ توانائی سے بھرا ہوا ہے
i have got no worries,مجھے کوئی پریشانی نہیں ہے۔
wheres my coat,میرا کوٹ کہاں ہے
i am game,میں کھیل ہوں
he likes it very much,وہ اسے بہت پسند کرتا ہے
i come from china,میں چین سے آیا ہوں۔
shes a bad liar,وہ ایک بری جھوٹی ہے
the roses smell nice,گلاب کی خوشبو اچھی ہے
nobodys seen tom,کسی نے ٹام کو نہیں دیکھا
he will not go,وہ نہیں جائے گا
i dont doubt that,مجھے اس پر شک نہیں ہے۔
this is selling at throw away price,یہ پھینکی ہوئی قیمت پر فروخت ہو رہا ہے۔
lets give it a try,آئیے اسے آزمائیں
you are a doctor,آپ ایک ڈاکٹر ہو
i think zain is normal,میرے خیال میں زین نارمل ہے۔
is it white,کیا یہ سفید ہے؟
what is the commotion,ہنگامہ کیا ہے
send it in duplicate,اسے ڈپلیکیٹ میں بھیجیں۔
death rate is increasing,موت کی شرح بڑھ رہی ہے
why did you buy it,تم نے اسے کیوں خریدا
she is eight,وہ آٹھ ہے
are you and zain close,کیا آپ اور زین قریب ہیں؟
he was not pleased,وہ خوش نہیں تھا
zain made a mistake,زین نے غلطی کی
where can i take you,میں آپ کو کہاں لے جا سکتا ہوں
can you program in c,کیا آپ سی میں پروگرام کر سکتے ہیں؟
italy is a peninsula,اٹلی ایک جزیرہ نما ہے
why did zain do this,زین نے ایسا کیوں کیا
you must be kidding,تم مذاق کر رہے ہو
give me a day,مجھے ایک دن دو
oh have a heart,اوہ دل رکھو
torture is wrong,تشدد غلط ہے
zain is a good singer,زین ایک اچھا گلوکار ہے۔
i am working on that,میں اس پر کام کر رہا ہوں۔
they lied,انہوں نے جھوٹ بولا
he showed me around,اس نے مجھے ارد گرد دکھایا
have you seen this,کیاآپ نے یہ دیکھا ہے
give some bread,کچھ روٹی دو
i just work here,میں صرف یہاں کام کرتا ہوں۔
i want to eat steak,میں سٹیک کھانا چاہتا ہوں۔
zain fell,زین گر گیا
may i drink alcohol,کیا میں شراب پی سکتا ہوں؟
what a great idea,کتنا اچھا خیال ہے
i hardly knew tom,میں شاید ہی ٹام کو جانتا تھا۔
stop complaining,شکائیتیں لگانا بند کرو
zain lives near me,زین میرے قریب رہتا ہے۔
we must be cautious,ہمیں محتاط رہنا چاہیے
were here to help,مدد کرنے کے لئے یہاں تھے
i need some paper,مجھے کچھ کاغذ چاہیے
i have lost my key,میں نے اپنی چابی کھو دی ہے۔
she told him a joke,اس نے اسے ایک لطیفہ سنایا
youll catch a cold,آپ کو سردی لگ جائے گی۔
more is needed,مزید کی ضرورت ہے
he and only he knows the whole truth,وہ اور صرف وہی پوری حقیقت جانتا ہے۔
zain is downstairs,زین نیچے ہے
please let me do it,براہ کرم مجھے کرنے دیں۔
i know this joke,میں یہ لطیفہ جانتا ہوں۔
keep your head down,اپنا سر نیچے رکھو
zain is pompous,زین شاندار ہے
i love green peppers,مجھے ہری مرچ پسند ہے۔
you are free to go,آپ جانے کے لیے آزاد ہیں۔
the foods ready,کھانے تیار ہیں
meanwhile,اسی دوران
where are my books,میری کتابیں کہاں ہیں؟
wait a moment,کچھ دیر انتظار
i like to peel apples,مجھے سیب چھیلنا پسند ہے۔
do you feel guilty,کیا آپ مجرم محسوس کرتے ہیں؟
did you get my point,کیا آپ نے میری بات سمجھ لی؟
zain works slowly,زین آہستہ سے کام کرتا ہے۔
i dont want any more,مجھے مزید نہیں چاہیے
dont ever doubt it,اس پر کبھی شک نہ کرو
it was really windy,یہ واقعی ہوا تھا
he asked me for help,اس نے مجھ سے مدد مانگی۔
whose friend are you,آپ کس کے دوست ہیں؟
he saw a pretty girl,اس نے ایک خوبصورت لڑکی کو دیکھا
zain ignored mary,زین نے مریم کو نظر انداز کیا۔
dont tell my mother,میری ماں کو مت بتانا
he hanged himself,اس نے خود کو پھانسی دی
he knows the truth,وہ سچ جانتا ہے
i hid in the basement,میں تہہ خانے میں چھپ گیا۔
we had fun swimming in the pool,ہم نے پول میں تیراکی کا مزہ کیا۔
lets keep quiet,خاموش رہنے دو
zain opened a beer,زین نے بیئر کھولی۔
i heard what happened,میں نے سنا کیا ہوا
zain ran upstairs,زین اوپر کی طرف بھاگا۔
dont you feel cold,آپ کو سردی نہیں لگتی
i am standing,میں کھڑا ہوں
may i use your phone,کیا میں آپ کا فون استعمال کر سکتا ہوں؟
why did you bring it,تم اسے کیوں لائے ہو
i will catch you soon,میں جلد ہی آپ کو پکڑوں گا۔
zain came here,زین یہاں آیا
speak clearly,صاف صاف بولیں
dont lose your purse,اپنا پرس مت کھونا
i won fair and square,میں نے منصفانہ اور مربع جیت لیا
i will pay for you,میں آپ کے لئے ادائیگی کروں گا
whose side is zain on,جس کی طرف زین ہے۔
can i go first,کیا میں پہلے جا سکتا ہوں؟
zip up your mouth,اپنے منہ کو زپ کرو
i have enjoyed it,میں نے اس کا لطف اٹھایا ہے۔
did zain push you,زین نے آپ کو دھکا دیا؟
doesnt zain look good,زین اچھا نہیں لگتا
zain trusts you,زین آپ پر بھروسہ کرتا ہے۔
we need your help,ہمیں آپ کی مدد کی ضرورت کیوں ہے؟
i have a feeling that she'll come today,مجھے لگ رہا ہے کہ وہ آج آئے گی۔
dont waste my time,میرا وقت ضائع مت کرو
you can do it,تم کر سکتے ہو
is it really true,کیا یہ واقعی سچ ہے؟
you are perspiring. or you are sweeting,آپ کو پسینہ آ رہا ہے. یا آپ میٹھا کر رہے ہیں؟
"yes, by all means","جی ہاں، ہر طرح سے"
come sing with me,آؤ میرے ساتھ گاؤ
he was perfect,وہ کامل تھا
he cried out for help,اس نے مدد کے لیے پکارا۔
zain cant stand it,زین برداشت نہیں کر سکتا
"come what may, i will not talk to him","جو ہو جائے، میں اس سے بات نہیں کروں گا۔"
is it a compliment,کیا یہ ایک تعریف ہے؟
now you owe me,اب تم میرا مقروض ہو۔
we had fun with it,ہم نے اس کے ساتھ مزہ کیا
zain couldnt sleep,زین سو نہیں سکا
i may as we will go now,میں شاید جیسا کہ ہم اب جائیں گے۔
i am a carpenter,میں ایک بڑھئی ہوں۔
"it is very hot today, isnâ€™t it","آج بہت گرمی ہے، ہے نا؟"
i cant come with you,میں آپ کے ساتھ نہیں آ سکتا
zain knows i am home,زین جانتا ہے کہ میں گھر پر ہوں۔
i did that already,میں نے پہلے ہی یہ کیا
zain comforted mary,زین نے مریم کو تسلی دی۔
zain might come,زین آ سکتا ہے۔
keep searching,تلاش کرتے رہیں
did he say something,کیا اس نے کچھ کہا؟
zain will decide,زین فیصلہ کرے گا
zain disappointed me,زین نے مجھے مایوس کیا۔
ignore it,اسے نظرانداز کرو
i am in paris,میں پیرس میں ہوں
he got what he wanted,اسے وہ مل گیا جو وہ چاہتا تھا۔
zain had to do it,زین کو کرنا پڑا
zain behaved himself,زین نے خود سے سلوک کیا۔
she is thirtyone,وہ تیس سال کی ہے۔
just go back to bed,صرف بستر پر واپس جاؤ
i am dying to see you,میں تمہیں دیکھنے کے لیے مر رہا ہوں۔
he works very hard,وہ بہت محنت کرتا ہے
i am a coward,میں بزدل ہوں
zain never wears red,زین کبھی سرخ نہیں پہنتا
zain likes adventure,زین کو ایڈونچر پسند ہے۔
he must love you,اسے تم سے پیار کرنا چاہیے۔
"her mother-in-law is good natured,but not","اس کی ساس اچھی طبیعت کی ہے، لیکن نہیں۔"
i just got up,میں ابھی اٹھا ہوں
i was there yesterday,میں کل وہاں تھا۔
i am out of money,میرے پاس پیسے ختم ہو گئے ہیں۔
i am a city dweller,میں شہر کا رہنے والا ہوں۔
it would not hurt,یہ چوٹ نہیں کرے گا
break a leg,ٹانگ کھیچنا
are you reliable,کیا آپ قابل اعتماد ہیں؟
i am a bit tipsy,میں تھوڑا سا ٹپسی ہوں
doctor couldnâ€™t diagnose his disease,ڈاکٹر اس کی بیماری کی تشخیص نہیں کر سکا
he was the only man,وہ واحد آدمی تھا
jump over it,اس پر چھلانگ لگائیں
how did zain die,زین کی موت کیسے ہوئی
he is not young,وہ جوان نہیں ہے
i dont like sushi,مجھے سشی پسند نہیں
i think he is right,مجھے لگتا ہے کہ وہ صحیح ہے۔
zain gave up all hope,زین نے ساری امیدیں چھوڑ دیں۔
i am sleeping,میں سو رہا ہوں
i know why he did it,میں جانتا ہوں کہ اس نے ایسا کیوں کیا۔
i go to kyoto,میں کیوٹو جاتا ہوں۔
do it at once,اسے فورا٘ کرو۔
what size is that,یہ کیا سائز ہے
i met him just now,میں ابھی اس سے ملا ہوں۔
everybody sat down,سب بیٹھ گئے
zain is your father,زین تمہارا باپ ہے۔
you cant leave yet,آپ ابھی تک نہیں چھوڑ سکتے
i am talking with tom,میں ٹام سے بات کر رہا ہوں۔
i am really confused,میں واقعی الجھن میں ہوں
i dont have a garden,میرے پاس باغ نہیں ہے۔
put it on,اس پر رکھو
